siteenergyusekbtu,totalghgemissions,yearbuilt,is_using_electricitykWh,is_using_naturalgaskWh,is_using_steamusekWh,largestpropertyusetypegfa,numberofbuildings,numberoffloors,propertygfabuildings,buildingtype,primarypropertytype
7226362.5,249.98,1927,1,1,1,88434.0,1.0,12,88434,NonResidential,Hotel
8387933.0,295.86,1996,1,1,0,83880.0,1.0,11,88502,NonResidential,Hotel
72587024.0,2089.28,1969,1,1,1,756493.0,1.0,41,759392,NonResidential,Hotel
6794584.0,286.43,1926,1,1,1,61320.0,1.0,10,61320,NonResidential,Hotel
14172606.0,505.01,1980,1,1,0,123445.0,1.0,18,113580,NonResidential,Hotel
12086616.0,301.81,1999,1,1,0,88830.0,1.0,2,60090,Nonresidential COS,Other
5758795.0,176.14,1926,1,1,0,81352.0,1.0,11,83008,NonResidential,Hotel
6298131.5,221.51,1926,1,1,1,102761.0,1.0,8,102761,NonResidential,Other
13723820.0,392.16,1904,1,1,0,163984.0,1.0,15,163984,NonResidential,Hotel
4573777.0,151.12,1910,1,1,1,56132.0,1.0,6,62216,Multifamily MR (5-9),Mid-Rise Multifamily
16016644.0,691.26,1969,1,1,1,133884.0,1.0,11,133884,NonResidential,Hotel
26941110.0,740.97,1998,1,1,1,336640.0,1.0,25,272015,NonResidential,Hotel
6596057.5,328.23,1928,1,1,1,65009.0,1.0,9,65009,NonResidential,Hotel
22325364.0,648.62,1980,1,1,1,295511.0,1.0,33,258352,NonResidential,Hotel
10750010.0,511.39,1922,1,1,1,67390.0,1.0,11,66990,NonResidential,Hotel
18588860.0,181.38,2004,1,0,1,364913.0,1.0,11,355000,Nonresidential COS,Other
9956396.0,433.86,1930,1,1,1,90000.0,1.0,6,103911,NonResidential,Other
33556756.0,802.89,1983,1,1,0,348329.0,1.0,28,331281,NonResidential,Hotel
7606084.5,273.02,1907,1,1,1,16442.0,1.0,5,57452,NonResidential,Mixed Use Property
10154608.0,349.32,1916,1,1,1,104352.0,1.0,10,104352,NonResidential,Hotel
44984468.0,1265.29,1916,1,1,0,537150.0,1.0,10,540360,NonResidential,Other
47859812.0,1699.45,1985,1,1,0,385274.0,1.0,19,385274,NonResidential,Other
3663534.5,90.01,2001,1,1,0,58006.0,1.0,6,58006,NonResidential,Hotel
11343686.0,388.04,1928,1,1,0,125000.0,1.0,7,126593,NonResidential,University
1310236.625,9.13,1930,1,0,0,67224.0,1.0,2,67224,NonResidential,Other
5328051.5,256.57,1991,1,1,0,112676.0,1.0,8,128375,NonResidential,Hotel
11061916.0,328.63,2001,1,1,0,128909.0,1.0,10,133585,NonResidential,Hotel
4456714.5,128.44,1978,1,1,0,47994.0,1.0,5,52210,NonResidential,Hotel
4145920.5,157.77,1906,1,1,0,40943.0,1.0,3,87262,NonResidential,Small- and Mid-Sized Office
6668568.5,215.0,1994,1,1,0,81871.0,1.0,4,81871,NonResidential,Hotel
318364.8125,3.93,1955,1,1,0,26225.0,1.0,2,110356,NonResidential,Self-Storage Facility
448385312.0,16870.98,1992,1,1,0,757027.0,1.0,3,494835,Campus,Mixed Use Property
